,pollster,date_x,sample,moe,Trump (R),Biden (D),spread,Difference,Type of Voter,Sample Size,End Date,Poll Month,Year,Days Since 01-01-23,date_y,trump,biden,biden_rolling,trump_rolling
11,Morning Consult,3/22 - 3/24,5833 RV,1.0,43.0,44.0,Biden+1,-1.0,RV,5833,2024-03-24,3,2024,448,2024-03-24,45.7,37.5,37.5,45.7
12,Harvard-Harris,3/20 - 3/21,2111 RV,—,51.0,49.0,Trump+2,2.0,RV,2111,2024-03-21,3,2024,445,2024-03-21,45.3,37.5,37.5,45.3
13,CNBC,3/15 - 3/19,1001 RV,3.1,46.0,45.0,Trump+1,1.0,RV,1001,2024-03-19,3,2024,443,2024-03-19,45.8,35.4,35.4,45.8
14,Morning Consult,3/15 - 3/17,5777 RV,1.0,43.0,43.0,Tie,0.0,RV,5777,2024-03-17,3,2024,441,2024-03-17,45.6,34.2,34.2,45.6
15,Grinnell/Selzer,3/11 - 3/17,715 LV,3.7,45.0,38.0,Trump+7,7.0,LV,715,2024-03-17,3,2024,441,2024-03-17,45.6,34.2,34.2,45.6
16,Economist/YouGov,3/10 - 3/12,1367 RV,3.5,44.0,42.0,Trump+2,2.0,RV,1367,2024-03-12,3,2024,436,2024-03-12,45.2,32.6,32.6,45.2
17,Daily Kos/Civiqs,3/9 - 3/12,1324 RV,2.8,44.0,45.0,Biden+1,-1.0,RV,1324,2024-03-12,3,2024,436,2024-03-12,45.2,32.6,32.6,45.2
18,Reuters/Ipsos,3/7 - 3/13,3356 RV,1.8,48.0,50.0,Biden+2,-2.0,RV,3356,2024-03-13,3,2024,437,2024-03-13,45.5,33.7,33.7,45.5
19,Yahoo News,3/8 - 3/11,990 RV,—,46.0,44.0,Trump+2,2.0,RV,990,2024-03-11,3,2024,435,2024-03-11,45.4,32.6,32.6,45.4
20,Forbes/HarrisX,3/8 - 3/10,2017 RV,2.2,52.0,48.0,Trump+4,4.0,RV,2017,2024-03-10,3,2024,434,2024-03-10,45.4,32.6,32.6,45.4
21,Morning Consult,3/8 - 3/10,6300 RV,1.0,44.0,43.0,Trump+1,1.0,RV,6300,2024-03-10,3,2024,434,2024-03-10,45.4,32.6,32.6,45.4
22,Rasmussen Reports,3/5 - 3/7,912 LV,3.0,49.0,41.0,Trump+8,8.0,LV,912,2024-03-07,3,2024,431,2024-03-07,46.4,31.2,31.2,46.4
23,Emerson,3/5 - 3/6,1350 RV,2.6,49.0,51.0,Biden+2,-2.0,RV,1350,2024-03-06,3,2024,430,2024-03-06,44.5,30.5,30.5,44.5
24,Economist/YouGov,3/3 - 3/5,1450 RV,3.2,44.0,42.0,Trump+2,2.0,RV,1450,2024-03-05,3,2024,429,2024-03-05,43.5,28.3,28.3,43.5
25,Morning Consult,3/1 - 3/3,6334 RV,1.0,43.0,44.0,Biden+1,-1.0,RV,6334,2024-03-03,3,2024,427,2024-03-03,44.8,28.0,28.0,44.8
26,CBS News,2/28 - 3/1,1436 RV,—,52.0,48.0,Trump+4,4.0,RV,1436,2024-03-01,3,2024,425,2024-03-01,44.6,28.0,28.0,44.6
27,I&I/TIPP,2/28 - 3/1,1246 RV,2.8,42.0,43.0,Biden+1,-1.0,RV,1246,2024-03-01,3,2024,425,2024-03-01,44.6,28.0,28.0,44.6
28,NY Times/Siena,2/25 - 2/28,980 LV,3.5,48.0,44.0,Trump+4,4.0,LV,980,2024-02-28,2,2024,423,2024-02-28,44.2,27.8,27.8,44.2
29,FOX News,2/25 - 2/28,1262 RV,2.5,49.0,47.0,Trump+2,2.0,RV,1262,2024-02-28,2,2024,423,2024-02-28,44.2,27.8,27.8,44.2
30,Forbes/HarrisX,2/24 - 2/28,3021 RV,1.8,52.0,48.0,Trump+4,4.0,RV,3021,2024-02-28,2,2024,423,2024-02-28,44.2,27.8,27.8,44.2
31,Wall Street Journal,2/21 - 2/28,1500 RV,2.5,47.0,45.0,Trump+2,2.0,RV,1500,2024-02-28,2,2024,423,2024-02-28,44.2,27.8,27.8,44.2
32,Economist/YouGov,2/25 - 2/27,1498 RV,3.2,44.0,44.0,Tie,0.0,RV,1498,2024-02-27,2,2024,422,2024-02-27,44.0,28.0,28.0,44.0
33,Morning Consult,2/23 - 2/25,6224 RV,1.0,44.0,43.0,Trump+1,1.0,RV,6224,2024-02-25,2,2024,420,2024-02-25,43.8,27.2,27.2,43.8
34,Harvard-Harris,2/21 - 2/22,2022 RV,—,53.0,47.0,Trump+6,6.0,RV,2022,2024-02-22,2,2024,417,2024-02-22,43.6,27.4,27.4,43.6
35,HarrisX**,2/20 - 2/22,3024 RV,1.8,52.0,48.0,Trump+4,4.0,RV,3024,2024-02-22,2,2024,417,2024-02-22,43.6,27.4,27.4,43.6
36,Economist/YouGov,2/18 - 2/20,1360 RV,3.2,43.0,42.0,Trump+1,1.0,RV,1360,2024-02-20,2,2024,415,2024-02-20,43.6,27.0,27.0,43.6
37,Morning Consult,2/17 - 2/19,6321 RV,1.0,45.0,41.0,Trump+4,4.0,RV,6321,2024-02-19,2,2024,414,2024-02-19,43.7,28.0,28.0,43.7
38,Quinnipiac,2/15 - 2/19,1421 RV,2.6,45.0,49.0,Biden+4,-4.0,RV,1421,2024-02-19,2,2024,414,2024-02-19,43.7,28.0,28.0,43.7
39,Rasmussen Reports,2/13 - 2/15,868 LV,3.0,47.0,41.0,Trump+6,6.0,LV,868,2024-02-15,2,2024,410,2024-02-15,44.5,26.8,26.8,44.5
40,Marquette,2/5 - 2/15,787 RV,4.5,51.0,49.0,Trump+2,2.0,RV,787,2024-02-15,2,2024,410,2024-02-15,44.5,26.8,26.8,44.5
41,HarrisX**,2/12 - 2/16,3024 RV,1.8,54.0,46.0,Trump+8,8.0,RV,3024,2024-02-16,2,2024,411,2024-02-16,43.4,27.8,27.8,43.4
42,Emerson,2/13 - 2/14,1225 RV,2.7,45.0,44.0,Trump+1,1.0,RV,1225,2024-02-14,2,2024,409,2024-02-14,44.3,26.5,26.5,44.3
43,Economist/YouGov,2/11 - 2/13,1470 RV,3.1,44.0,44.0,Tie,0.0,RV,1470,2024-02-13,2,2024,408,2024-02-13,44.4,25.8,25.8,44.4
44,Morning Consult,2/9 - 2/11,6164 RV,1.0,43.0,42.0,Trump+1,1.0,RV,6164,2024-02-11,2,2024,406,2024-02-11,44.6,26.6,26.6,44.6
45,Economist/YouGov,2/4 - 2/6,1399 RV,3.0,44.0,43.0,Trump+1,1.0,RV,1399,2024-02-06,2,2024,401,2024-02-06,44.0,33.3,33.3,44.0
46,Morning Consult,2/4 - 2/6,6138 RV,1.0,45.0,40.0,Trump+5,5.0,RV,6138,2024-02-06,2,2024,401,2024-02-06,44.0,33.3,33.3,44.0
47,I&I/TIPP,1/31 - 2/2,1266 RV,2.8,43.0,41.0,Trump+2,2.0,RV,1266,2024-02-02,2,2024,397,2024-02-02,42.8,32.8,32.8,42.8
48,NPR/PBS/Marist,1/29 - 2/1,1441 RV,3.6,47.0,48.0,Biden+1,-1.0,RV,1441,2024-02-01,2,2024,396,2024-02-01,43.3,32.7,32.7,43.3
49,CNN,1/25 - 1/30,1212 RV,3.4,49.0,45.0,Trump+4,4.0,RV,1212,2024-01-30,1,2024,394,2024-01-30,44.0,32.5,32.5,44.0
50,NBC News,1/26 - 1/30,1000 RV,3.1,47.0,42.0,Trump+5,5.0,RV,1000,2024-01-30,1,2024,394,2024-01-30,44.0,32.5,32.5,44.0
51,Economist/YouGov,1/28 - 1/30,1486 RV,2.9,42.0,43.0,Biden+1,-1.0,RV,1486,2024-01-30,1,2024,394,2024-01-30,44.0,32.5,32.5,44.0
52,Daily Kos/Civiqs,1/27 - 1/30,1217 RV,2.9,44.0,44.0,Tie,0.0,RV,1217,2024-01-30,1,2024,394,2024-01-30,44.0,32.5,32.5,44.0
53,Quinnipiac,1/25 - 1/29,1650 RV,2.4,44.0,50.0,Biden+6,-6.0,RV,1650,2024-01-29,1,2024,393,2024-01-29,43.5,33.3,33.3,43.5
54,Yahoo News,1/25 - 1/29,1069 RV,—,45.0,44.0,Trump+1,1.0,RV,1069,2024-01-29,1,2024,393,2024-01-29,43.5,33.3,33.3,43.5
55,Emerson,1/26 - 1/29,1260 RV,2.7,46.0,45.0,Trump+1,1.0,RV,1260,2024-01-29,1,2024,393,2024-01-29,43.5,33.3,33.3,43.5
56,Morning Consult,1/26 - 1/28,6487 RV,1.0,44.0,42.0,Trump+2,2.0,RV,6487,2024-01-28,1,2024,392,2024-01-28,44.0,34.4,34.4,44.0
57,Reuters/Ipsos,1/22 - 1/24,1028 RV,—,43.0,38.0,Trump+5,5.0,RV,1028,2024-01-24,1,2024,388,2024-01-24,43.6,33.0,33.0,43.6
58,Economist/YouGov,1/21 - 1/23,1497 RV,2.8,44.0,43.0,Trump+1,1.0,RV,1497,2024-01-23,1,2024,387,2024-01-23,43.0,32.1,32.1,43.0
59,The Messenger/HarrisX,1/17 - 1/21,3034 RV,1.8,53.0,47.0,Trump+6,6.0,RV,3034,2024-01-21,1,2024,385,2024-01-21,41.8,31.8,31.8,41.8
60,Morning Consult,1/19 - 1/21,6417 RV,1.0,45.0,40.0,Trump+5,5.0,RV,6417,2024-01-21,1,2024,385,2024-01-21,41.8,31.8,31.8,41.8
61,Harvard-Harris,1/17 - 1/18,2346 RV,—,53.0,47.0,Trump+6,6.0,RV,2346,2024-01-18,1,2024,382,2024-01-18,41.5,30.0,30.0,41.5
62,The Messenger/HarrisX,1/16 - 1/17,1045 RV,3.0,52.0,48.0,Trump+4,4.0,RV,1045,2024-01-17,1,2024,381,2024-01-17,41.3,29.8,29.8,41.3
63,Economist/YouGov,1/14 - 1/16,1472 RV,2.8,43.0,44.0,Biden+1,-1.0,RV,1472,2024-01-16,1,2024,380,2024-01-16,39.2,29.8,29.8,39.2
64,Morning Consult,1/13 - 1/15,6606 RV,1.0,43.0,41.0,Trump+2,2.0,RV,6606,2024-01-15,1,2024,379,2024-01-15,37.6,29.0,29.0,37.6
65,CBS News,1/10 - 1/12,1906 LV,3.1,50.0,48.0,Trump+2,2.0,LV,1906,2024-01-12,1,2024,376,2024-01-12,37.5,28.8,28.8,37.5
66,Rasmussen Reports,1/7 - 1/9,968 LV,3.0,49.0,41.0,Trump+8,8.0,LV,968,2024-01-09,1,2024,373,2024-01-09,37.9,28.7,28.7,37.9
67,Economist/YouGov,1/7 - 1/9,1417 RV,2.9,43.0,43.0,Tie,0.0,RV,1417,2024-01-09,1,2024,373,2024-01-09,37.9,28.7,28.7,37.9
68,Reuters/Ipsos,1/3 - 1/9,4677 RV,1.5,48.0,48.0,Tie,0.0,RV,4677,2024-01-09,1,2024,373,2024-01-09,37.9,28.7,28.7,37.9
69,Morning Consult,1/5 - 1/7,6367 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,6367,2024-01-07,1,2024,371,2024-01-07,37.7,28.7,28.7,37.7
70,I&I/TIPP,1/3 - 1/5,1247 RV,2.8,41.0,40.0,Trump+1,1.0,RV,1247,2024-01-05,1,2024,369,2024-01-05,37.7,28.7,28.7,37.7
71,Economist/YouGov,12/31 - 1/2,1343 RV,3.0,44.0,44.0,Tie,0.0,RV,1343,2024-01-02,1,2024,366,2024-01-02,38.0,29.1,29.1,38.0
72,Morning Consult,12/30 - 1/1,6816 RV,1.0,42.0,41.0,Trump+1,1.0,RV,6816,2024-01-01,1,2024,365,2024-01-01,38.2,29.5,29.5,38.2
73,USA Today/Suffolk,12/26 - 12/29,1000 LV,3.1,44.0,43.0,Trump+1,1.0,LV,1000,2023-12-29,12,2023,362,2023-12-29,37.5,29.0,29.0,37.5
74,Data for Progress (D)**,12/22 - 12/29,596 LV,—,45.0,47.0,Biden+2,-2.0,LV,596,2023-12-29,12,2023,362,2023-12-29,37.5,29.0,29.0,37.5
75,Economist/YouGov,12/16 - 12/18,1336 RV,3.2,43.0,43.0,Tie,0.0,RV,1336,2023-12-18,12,2023,351,2023-12-18,36.8,30.2,30.2,36.8
76,Quinnipiac,12/14 - 12/18,1647 RV,2.4,46.0,47.0,Biden+1,-1.0,RV,1647,2023-12-18,12,2023,351,2023-12-18,36.8,30.2,30.2,36.8
77,Yahoo News,12/14 - 12/18,1027 RV,—,44.0,44.0,Tie,0.0,RV,1027,2023-12-18,12,2023,351,2023-12-18,36.8,30.2,30.2,36.8
78,Morning Consult,12/15 - 12/17,5618 RV,1.0,44.0,42.0,Trump+2,2.0,RV,5618,2023-12-17,12,2023,350,2023-12-17,37.3,30.3,30.3,37.3
79,Harvard-Harris,12/13 - 12/14,2034 RV,2.0,52.0,48.0,Trump+4,4.0,RV,2034,2023-12-14,12,2023,347,2023-12-14,37.3,29.7,29.7,37.3
80,NY Times/Siena,12/10 - 12/14,1016 LV,3.7,45.0,47.0,Biden+2,-2.0,LV,1016,2023-12-14,12,2023,347,2023-12-14,37.3,29.7,29.7,37.3
81,FOX News,12/10 - 12/13,1007 RV,3.0,50.0,46.0,Trump+4,4.0,RV,1007,2023-12-13,12,2023,346,2023-12-13,37.0,29.5,29.5,37.0
82,Economist/YouGov,12/9 - 12/12,1332 RV,3.0,43.0,43.0,Tie,0.0,RV,1332,2023-12-12,12,2023,345,2023-12-12,36.3,30.0,30.0,36.3
83,Morning Consult,12/8 - 12/10,5840 RV,1.0,43.0,41.0,Trump+2,2.0,RV,5840,2023-12-10,12,2023,343,2023-12-10,36.0,30.0,30.0,36.0
84,Rasmussen Reports,12/6 - 12/7,892 LV,3.0,48.0,38.0,Trump+10,10.0,LV,892,2023-12-07,12,2023,340,2023-12-07,36.6,29.3,29.3,36.6
85,NPR/PBS/Marist,12/4 - 12/7,1129 RV,3.7,48.0,49.0,Biden+1,-1.0,RV,1129,2023-12-07,12,2023,340,2023-12-07,36.6,29.3,29.3,36.6
86,Wall Street Journal,12/3 - 12/7,1500 RV,2.5,43.0,45.0,Biden+2,-2.0,RV,1500,2023-12-07,12,2023,340,2023-12-07,36.6,29.3,29.3,36.6
87,Emerson,12/4 - 12/6,1000 RV,3.0,47.0,43.0,Trump+4,4.0,RV,1000,2023-12-06,12,2023,339,2023-12-06,36.5,29.3,29.3,36.5
88,Economist/YouGov,12/2 - 12/5,1291 RV,3.1,41.0,42.0,Biden+1,-1.0,RV,1291,2023-12-05,12,2023,338,2023-12-05,36.5,29.4,29.4,36.5
89,Wall Street Journal,11/29 - 12/4,1500 RV,2.5,47.0,43.0,Trump+4,4.0,RV,1500,2023-12-04,12,2023,337,2023-12-04,36.1,28.4,28.4,36.1
90,The Messenger/HarrisX,11/27 - 12/1,2018 RV,2.2,53.0,47.0,Trump+6,6.0,RV,2018,2023-12-01,12,2023,334,2023-12-01,35.4,29.0,29.0,35.4
91,I&I/TIPP,11/30 - 12/1,1301 RV,2.8,41.0,39.0,Trump+2,2.0,RV,1301,2023-12-01,12,2023,334,2023-12-01,35.4,29.0,29.0,35.4
92,Morning Consult,12/1 - 12/3,5855 RV,1.0,43.0,43.0,Tie,0.0,RV,5855,2023-12-03,12,2023,336,2023-12-03,36.4,28.1,28.1,36.4
93,The Messenger/HarrisX,11/22 - 11/28,4003 RV,1.6,52.0,48.0,Trump+4,4.0,RV,4003,2023-11-28,11,2023,331,2023-11-28,36.3,27.6,27.6,36.3
94,Economist/YouGov,11/25 - 11/27,1323 RV,3.1,42.0,44.0,Biden+2,-2.0,RV,1323,2023-11-27,11,2023,330,2023-11-27,36.3,27.8,27.8,36.3
95,Morning Consult,11/24 - 11/26,6527 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,6527,2023-11-26,11,2023,329,2023-11-26,36.3,27.7,27.7,36.3
96,Emerson,11/17 - 11/20,1475 RV,2.5,47.0,43.0,Trump+4,4.0,RV,1475,2023-11-20,11,2023,323,2023-11-20,35.0,28.6,28.6,35.0
97,Morning Consult,11/17 - 11/19,5855 RV,1.0,44.0,41.0,Trump+3,3.0,RV,5855,2023-11-19,11,2023,322,2023-11-19,34.7,29.4,29.4,34.7
98,The Messenger/HarrisX,11/15 - 11/19,3017 RV,1.8,53.0,47.0,Trump+6,6.0,RV,3017,2023-11-19,11,2023,322,2023-11-19,34.7,29.4,29.4,34.7
99,Emerson,11/18 - 11/19,1380 RV,2.5,41.0,45.0,Biden+4,-4.0,RV,1380,2023-11-19,11,2023,322,2023-11-19,34.7,29.4,29.4,34.7
100,Harvard-Harris,11/15 - 11/16,2851 RV,—,53.0,47.0,Trump+6,6.0,RV,2851,2023-11-16,11,2023,319,2023-11-16,34.6,29.6,29.6,34.6
101,Economist/YouGov,11/11 - 11/14,1272 RV,3.1,43.0,42.0,Trump+1,1.0,RV,1272,2023-11-14,11,2023,317,2023-11-14,35.0,30.1,30.1,35.0
102,NBC News,11/10 - 11/14,1000 RV,3.1,46.0,44.0,Trump+2,2.0,RV,1000,2023-11-14,11,2023,317,2023-11-14,35.0,30.1,30.1,35.0
103,FOX News,11/10 - 11/13,1001 RV,3.0,50.0,46.0,Trump+4,4.0,RV,1001,2023-11-13,11,2023,316,2023-11-13,35.2,29.7,29.7,35.2
104,Quinnipiac,11/9 - 11/13,1574 RV,2.5,48.0,46.0,Trump+2,2.0,RV,1574,2023-11-13,11,2023,316,2023-11-13,35.2,29.7,29.7,35.2
105,Yahoo News,11/9 - 11/13,1058 RV,—,44.0,42.0,Trump+2,2.0,RV,1058,2023-11-13,11,2023,316,2023-11-13,35.2,29.7,29.7,35.2
106,Morning Consult,11/10 - 11/12,6130 RV,1.0,43.0,42.0,Trump+1,1.0,RV,6130,2023-11-12,11,2023,315,2023-11-12,34.4,30.4,30.4,34.4
107,Rasmussen Reports,11/8 - 11/12,987 LV,3.0,42.0,46.0,Biden+4,-4.0,LV,987,2023-11-12,11,2023,315,2023-11-12,34.4,30.4,30.4,34.4
108,Marquette,11/2 - 11/7,856 RV,4.5,52.0,48.0,Trump+4,4.0,RV,856,2023-11-07,11,2023,310,2023-11-07,35.4,29.4,29.4,35.4
109,Morning Consult,11/3 - 11/5,5000 RV,1.0,44.0,42.0,Trump+2,2.0,RV,5000,2023-11-05,11,2023,308,2023-11-05,33.7,31.3,31.3,33.7
110,USA Today/Suffolk,11/3 - 11/5,1000 RV,3.1,44.0,40.0,Trump+4,4.0,RV,1000,2023-11-05,11,2023,308,2023-11-05,33.7,31.3,31.3,33.7
111,I&I/TIPP,11/1 - 11/3,1242 RV,2.8,41.0,43.0,Biden+2,-2.0,RV,1242,2023-11-03,11,2023,306,2023-11-03,33.6,31.6,31.6,33.6
112,CBS News,10/30 - 11/2,1759 LV,3.3,51.0,48.0,Trump+3,3.0,LV,1759,2023-11-02,11,2023,305,2023-11-02,33.9,30.8,30.8,33.9
113,CNN,10/27 - 11/2,1271 RV,3.4,49.0,45.0,Trump+4,4.0,RV,1271,2023-11-02,11,2023,305,2023-11-02,33.9,30.8,30.8,33.9
114,The Messenger/HarrisX,10/30 - 11/1,2021 RV,2.2,51.0,49.0,Trump+2,2.0,RV,2021,2023-11-01,11,2023,304,2023-11-01,33.4,31.0,31.0,33.4
115,Economist/YouGov,10/28 - 10/31,1333 RV,2.9,42.0,42.0,Tie,0.0,RV,1333,2023-10-31,10,2023,303,2023-10-31,33.9,30.8,30.8,33.9
116,Quinnipiac,10/26 - 10/30,1610 RV,2.4,46.0,47.0,Biden+1,-1.0,RV,1610,2023-10-30,10,2023,302,2023-10-30,34.1,30.9,30.9,34.1
117,Morning Consult,10/27 - 10/29,5000 RV,1.0,43.0,43.0,Tie,0.0,RV,5000,2023-10-29,10,2023,301,2023-10-29,33.9,31.8,31.8,33.9
118,Harvard-Harris,10/18 - 10/19,2116 RV,2.0,52.0,48.0,Trump+4,4.0,RV,2116,2023-10-19,10,2023,291,2023-10-19,34.2,31.0,31.0,34.2
119,Emerson,10/18 - 10/19,1000 LV,3.0,40.0,43.0,Biden+3,-3.0,LV,1000,2023-10-19,10,2023,291,2023-10-19,34.2,31.0,31.0,34.2
120,USA Today/Suffolk,10/17 - 10/20,1000 RV,3.1,41.0,41.0,Tie,0.0,RV,1000,2023-10-20,10,2023,292,2023-10-20,34.3,30.9,30.9,34.3
121,Morning Consult,10/20 - 10/22,5000 RV,1.0,43.0,43.0,Tie,0.0,RV,5000,2023-10-22,10,2023,294,2023-10-22,34.3,30.8,30.8,34.3
122,The Messenger/HarrisX,10/16 - 10/23,3029 RV,1.8,45.0,41.0,Trump+4,4.0,RV,3029,2023-10-23,10,2023,295,2023-10-23,34.3,30.9,30.9,34.3
123,Emerson,10/16 - 10/17,1578 RV,2.4,47.0,45.0,Trump+2,2.0,RV,1578,2023-10-17,10,2023,289,2023-10-17,33.3,31.3,31.3,33.3
124,Economist/YouGov,10/14 - 10/17,1296 RV,3.2,42.0,43.0,Biden+1,-1.0,RV,1296,2023-10-17,10,2023,289,2023-10-17,33.3,31.3,31.3,33.3
125,Grinnell/Selzer,10/13 - 10/17,745 LV,3.6,40.0,40.0,Tie,0.0,LV,745,2023-10-17,10,2023,289,2023-10-17,33.3,31.3,31.3,33.3
126,Yahoo News,10/12 - 10/16,1120 RV,—,43.0,44.0,Biden+1,-1.0,RV,1120,2023-10-16,10,2023,288,2023-10-16,34.1,31.5,31.5,34.1
127,Grinnell/Selzer,10/10 - 10/15,784 LV,3.5,40.0,40.0,Tie,0.0,LV,784,2023-10-15,10,2023,287,2023-10-15,34.3,31.4,31.4,34.3
128,Morning Consult,10/13 - 10/15,5000 RV,1.0,41.0,43.0,Biden+2,-2.0,RV,5000,2023-10-15,10,2023,287,2023-10-15,34.3,31.4,31.4,34.3
129,NPR/PBS/Marist,10/11 - 10/11,1218 RV,3.9,46.0,49.0,Biden+3,-3.0,RV,1218,2023-10-11,10,2023,283,2023-10-11,33.4,31.3,31.3,33.4
130,Federalist/Susquehanna,10/4 - 10/11,800 LV,3.4,44.0,48.0,Biden+4,-4.0,LV,800,2023-10-11,10,2023,283,2023-10-11,33.4,31.3,31.3,33.4
131,FOX News,10/6 - 10/9,1007 RV,3.0,48.0,49.0,Biden+1,-1.0,RV,1007,2023-10-09,10,2023,281,2023-10-09,33.4,30.7,30.7,33.4
132,Morning Consult,10/6 - 10/8,5000 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,5000,2023-10-08,10,2023,280,2023-10-08,33.1,31.6,31.6,33.1
133,The Messenger/HarrisX,10/4 - 10/7,2982 RV,1.8,45.0,41.0,Trump+4,4.0,RV,2982,2023-10-07,10,2023,279,2023-10-07,33.5,31.4,31.4,33.5
134,Reuters/Ipsos,10/3 - 10/4,672 LV,—,42.0,43.0,Biden+1,-1.0,LV,672,2023-10-04,10,2023,276,2023-10-04,33.0,30.4,30.4,33.0
135,SurveyUSA,9/30 - 10/3,2330 LV,2.4,43.0,43.0,Tie,0.0,LV,2330,2023-10-03,10,2023,275,2023-10-03,33.0,30.6,30.6,33.0
136,Morning Consult,9/29 - 10/1,5000 RV,1.0,43.0,43.0,Tie,0.0,RV,5000,2023-10-01,10,2023,273,2023-10-01,33.3,30.3,30.3,33.3
137,The Messenger/HarrisX,9/28 - 9/29,1615 RV,2.4,45.0,42.0,Trump+3,3.0,RV,1615,2023-09-29,9,2023,271,2023-09-29,32.6,30.1,30.1,32.6
138,I&I/TIPP,9/27 - 9/29,1262 RV,2.8,42.0,42.0,Tie,0.0,RV,1262,2023-09-29,9,2023,271,2023-09-29,32.6,30.1,30.1,32.6
139,New York Post,9/27 - 9/28,1169 RV,2.7,44.0,41.0,Trump+3,3.0,RV,1169,2023-09-28,9,2023,270,2023-09-28,32.1,30.1,30.1,32.1
140,NPR/PBS/Marist,9/25 - 9/28,1137 RV,3.7,47.0,49.0,Biden+2,-2.0,RV,1137,2023-09-28,9,2023,270,2023-09-28,32.1,30.1,30.1,32.1
141,Economist/YouGov,9/23 - 9/26,1293 RV,3.2,40.0,45.0,Biden+5,-5.0,RV,1293,2023-09-26,9,2023,268,2023-09-26,31.6,30.9,30.9,31.6
142,Morning Consult,9/22 - 9/24,6000 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,6000,2023-09-24,9,2023,266,2023-09-24,30.1,31.5,31.5,30.1
143,Marquette,9/18 - 9/25,781 RV,4.4,51.0,48.0,Trump+3,3.0,RV,781,2023-09-25,9,2023,267,2023-09-25,30.1,31.5,31.5,30.1
144,ABC News/Wash Post,9/15 - 9/20,890 RV,4.0,52.0,42.0,Trump+10,10.0,RV,890,2023-09-20,9,2023,262,2023-09-20,29.4,31.9,31.9,29.4
145,NBC News,9/15 - 9/19,1000 RV,3.1,46.0,46.0,Tie,0.0,RV,1000,2023-09-19,9,2023,261,2023-09-19,29.1,32.1,32.1,29.1
146,The Messenger/HarrisX,9/13 - 9/19,3015 RV,1.8,46.0,41.0,Trump+5,5.0,RV,3015,2023-09-19,9,2023,261,2023-09-19,29.1,32.1,32.1,29.1
147,Emerson,9/17 - 9/18,1125 RV,2.8,45.0,45.0,Tie,0.0,RV,1125,2023-09-18,9,2023,260,2023-09-18,29.1,32.6,32.6,29.1
148,Yahoo News,9/14 - 9/18,1097 RV,3.3,44.0,44.0,Tie,0.0,RV,1097,2023-09-18,9,2023,260,2023-09-18,29.1,32.6,32.6,29.1
149,Morning Consult,9/15 - 9/17,6000 RV,1.0,42.0,42.0,Tie,0.0,RV,6000,2023-09-17,9,2023,259,2023-09-17,29.0,32.6,32.6,29.0
150,CBS News,9/12 - 9/15,2680 LV,2.6,50.0,49.0,Trump+1,1.0,LV,2680,2023-09-15,9,2023,257,2023-09-15,29.2,32.7,32.7,29.2
151,Harvard-Harris,9/12 - 9/14,2103 RV,—,44.0,40.0,Trump+4,4.0,RV,2103,2023-09-14,9,2023,256,2023-09-14,29.0,32.7,32.7,29.0
